
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                    19:50:27 N/A                                                                     
System                           4 Services                   0      2,088 K Unknown         N/A                                                     0:21:38 N/A                                                                     
Registry                       176 Services                   0     22,300 K Unknown         N/A                                                     0:00:01 N/A                                                                     
smss.exe                       704 Services                   0        372 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                     1132 Services                   0      2,596 K Unknown         N/A                                                     0:00:02 N/A                                                                     
wininit.exe                   1232 Services                   0        756 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                     1240 Console                    1      3,112 K Unknown         N/A                                                     0:00:13 N/A                                                                     
winlogon.exe                  1328 Console                    1      2,048 K Unknown         N/A                                                     0:00:00 N/A                                                                     
services.exe                  1372 Services                   0      6,252 K Unknown         N/A                                                     0:00:07 N/A                                                                     
lsass.exe                     1396 Services                   0     13,268 K Unknown         N/A                                                     0:00:07 N/A                                                                     
svchost.exe                   1536 Services                   0     21,480 K Unknown         N/A                                                     0:00:10 N/A                                                                     
fontdrvhost.exe               1568 Console                    1      3,660 K Unknown         N/A                                                     0:00:01 N/A                                                                     
fontdrvhost.exe               1572 Services                   0        172 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1656 Services                   0     12,920 K Unknown         N/A                                                     0:00:17 N/A                                                                     
WUDFHost.exe                  1704 Services                   0      5,120 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1712 Services                   0      3,680 K Unknown         N/A                                                     0:00:01 N/A                                                                     
dwm.exe                       1832 Console                    1   1,20,564 K Running         N/A                                                     0:17:03 DWM Notification Window                                                 
svchost.exe                   1916 Services                   0      3,548 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1944 Services                   0      6,428 K Unknown         N/A                                                     0:00:03 N/A                                                                     
svchost.exe                   1952 Services                   0      2,500 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1976 Services                   0      7,392 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2080 Services                   0      8,536 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   2104 Services                   0      4,824 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2112 Services                   0      2,472 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2120 Services                   0      5,068 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2272 Services                   0      1,264 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2280 Services                   0      6,220 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   2348 Services                   0      1,200 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2364 Services                   0      2,912 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2412 Services                   0      2,164 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2548 Services                   0      8,692 K Unknown         N/A                                                     0:00:05 N/A                                                                     
svchost.exe                   2808 Services                   0      1,272 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2816 Services                   0      1,396 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2960 Services                   0      4,460 K Unknown         N/A                                                     0:00:06 N/A                                                                     
svchost.exe                   3076 Services                   0      3,596 K Unknown         N/A                                                     0:00:00 N/A                                                                     
NVDisplay.Container.exe       3136 Services                   0     10,824 K Unknown         N/A                                                     0:00:05 N/A                                                                     
svchost.exe                   3176 Services                   0     10,728 K Unknown         N/A                                                     0:00:12 N/A                                                                     
svchost.exe                   3208 Services                   0      1,340 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3212 Services                   0      7,152 K Unknown         N/A                                                     0:00:18 N/A                                                                     
svchost.exe                   3224 Services                   0      1,168 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Memory Compression            3316 Services                   0   3,20,688 K Unknown         N/A                                                     0:00:31 N/A                                                                     
svchost.exe                   3368 Services                   0      1,048 K Unknown         N/A                                                     0:00:00 N/A                                                                     
igfxCUIService.exe            3408 Services                   0         88 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3436 Services                   0      2,740 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   3444 Services                   0      4,660 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   3528 Services                   0      9,296 K Unknown         N/A                                                     0:00:06 N/A                                                                     
svchost.exe                   3560 Services                   0      2,432 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3664 Services                   0     17,088 K Unknown         N/A                                                     0:00:14 N/A                                                                     
svchost.exe                   3744 Services                   0      2,076 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   3752 Services                   0      4,984 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   3912 Services                   0      3,876 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3992 Services                   0      3,456 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4024 Services                   0      9,544 K Unknown         N/A                                                     0:00:03 N/A                                                                     
AsusOptimization.exe          4116 Services                   0      1,688 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4120 Services                   0      2,240 K Unknown         N/A                                                     0:00:00 N/A                                                                     
NVDisplay.Container.exe       4132 Console                    1     12,104 K Running         N/A                                                     0:00:10 NvSvc                                                                   
svchost.exe                   4184 Services                   0     10,956 K Unknown         N/A                                                     0:00:04 N/A                                                                     
AsusOptimizationStartupTa     4544 Console                    1      2,088 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 HControl                                                                
WmiPrvSE.exe                  4552 Services                   0      4,432 K Unknown         N/A                                                     0:00:00 N/A                                                                     
spoolsv.exe                   4732 Services                   0      2,392 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   4800 Services                   0      6,188 K Unknown         N/A                                                     0:00:01 N/A                                                                     
